,dwnstrm [Ambient],,
,CO2,,,
04/05/17 10:31:12.069,"2805",,
04/05/17 10:31:17.069,"2810",,
04/05/17 10:31:17.069,"2810",,
04/05/17 10:31:22.069,"2810",,
04/05/17 10:31:27.069,"2810",,
04/05/17 10:31:32.069,"2746",,
04/05/17 10:31:37.069,"2775",,
04/05/17 10:31:42.068,"2771",,
04/05/17 10:31:47.069,"2750",,
04/05/17 10:31:52.069,"2774",,
04/05/17 10:31:57.068,"2774",,
04/05/17 10:32:02.069,"2765",,
04/05/17 10:32:07.069,"2804",,
04/05/17 10:32:12.069,"2809",,
04/05/17 10:32:17.068,"2833",,
04/05/17 10:32:22.069,"2818",,
04/05/17 10:32:27.069,"2799",,
04/05/17 10:32:32.068,"2823",,
04/05/17 10:32:37.069,"2843",,
04/05/17 10:32:42.069,"2902",,
04/05/17 10:32:47.069,"2958",,
04/05/17 10:32:52.068,"2942",,
04/05/17 10:32:57.069,"2963",,
04/05/17 10:33:02.069,"2958",,
04/05/17 10:33:07.068,"2953",,
04/05/17 10:33:12.069,"2983",,
04/05/17 10:33:17.069,"3033",,
04/05/17 10:33:22.069,"2993",,
04/05/17 10:33:27.068,"2988",,
04/05/17 10:33:32.069,"3033",,
04/05/17 10:33:37.069,"3049",,
04/05/17 10:33:42.068,"3054",,
04/05/17 10:33:47.069,"3044",,
04/05/17 10:33:52.069,"3043",,
04/05/17 10:33:57.069,"3043",,
04/05/17 10:34:02.068,"3027",,
04/05/17 10:34:07.069,"3022",,
04/05/17 10:34:12.069,"3053",,
04/05/17 10:34:17.068,"3032",,
04/05/17 10:34:22.069,"3084",,
04/05/17 10:34:27.069,"3084",,
04/05/17 10:34:32.069,"3074",,
04/05/17 10:34:37.068,"3094",,
04/05/17 10:34:42.069,"3131",,
04/05/17 10:34:47.069,"3136",,
04/05/17 10:34:52.068,"3136",,
04/05/17 10:34:57.069,"3105",,
04/05/17 10:35:02.069,"3094",,
04/05/17 10:35:07.069,"3115",,
04/05/17 10:35:12.068,"3094",,
04/05/17 10:35:17.069,"3069",,
04/05/17 10:35:22.069,"3048",,
04/05/17 10:35:27.068,"3053",,
04/05/17 10:35:32.069,"3007",,
04/05/17 10:35:32.069,"3007",,
04/05/17 10:35:37.069,"2982",,
04/05/17 10:35:42.069,"2957",,
04/05/17 10:35:47.068,"2921",,
04/05/17 10:35:52.069,"2808",,
04/05/17 10:35:57.069,"2788",,
04/05/17 10:36:02.068,"2808",,
04/05/17 10:36:07.069,"2734",,
04/05/17 10:36:12.069,"2687",,
04/05/17 10:36:17.069,"2668",,
04/05/17 10:36:22.069,"2630",,
04/05/17 10:36:27.069,"2621",,
04/05/17 10:36:32.069,"2598",,
04/05/17 10:36:37.068,"2630",,
04/05/17 10:36:42.069,"2663",,
04/05/17 10:36:47.069,"2668",,
04/05/17 10:36:52.068,"2635",,
04/05/17 10:36:57.069,"2630",,
04/05/17 10:37:02.069,"2630",,
04/05/17 10:37:07.069,"2635",,
04/05/17 10:37:12.068,"2673",,
04/05/17 10:37:17.069,"2673",,
04/05/17 10:37:22.069,"2673",,
04/05/17 10:37:27.069,"2658",,
04/05/17 10:37:32.069,"2701",,
04/05/17 10:37:37.069,"2687",,
04/05/17 10:37:42.069,"2745",,
04/05/17 10:37:47.068,"2750",,
04/05/17 10:37:52.069,"2774",,
04/05/17 10:37:57.069,"2750",,
04/05/17 10:38:02.069,"2765",,
04/05/17 10:38:07.069,"2799",,
04/05/17 10:38:12.069,"2809",,
04/05/17 10:38:17.069,"2799",,
04/05/17 10:38:22.068,"2833",,
04/05/17 10:38:27.069,"2828",,
04/05/17 10:38:32.069,"2799",,
04/05/17 10:38:37.068,"2789",,
04/05/17 10:38:42.069,"2799",,
04/05/17 10:38:47.069,"2809",,
04/05/17 10:38:52.069,"2843",,
04/05/17 10:38:57.068,"2813",,
04/05/17 10:39:02.069,"2833",,
04/05/17 10:39:07.069,"2838",,
04/05/17 10:39:12.068,"2852",,
04/05/17 10:39:17.069,"2877",,
04/05/17 10:39:22.069,"2892",,
04/05/17 10:39:27.069,"2892",,
04/05/17 10:39:32.068,"2838",,
04/05/17 10:39:37.069,"2852",,
04/05/17 10:39:42.069,"2862",,
04/05/17 10:39:47.068,"2867",,
04/05/17 10:39:47.068,"2867",,
04/05/17 10:39:52.069,"2838",,
04/05/17 10:39:57.069,"2813",,
04/05/17 10:40:02.069,"2818",,
04/05/17 10:40:07.068,"2809",,
04/05/17 10:40:12.069,"2857",,
04/05/17 10:40:17.069,"2857",,
04/05/17 10:40:22.068,"2887",,
04/05/17 10:40:27.069,"2907",,
04/05/17 10:40:32.069,"2902",,
04/05/17 10:40:37.069,"2917",,
04/05/17 10:40:42.069,"2912",,
04/05/17 10:40:47.069,"2932",,
04/05/17 10:40:52.069,"2917",,
04/05/17 10:40:57.068,"2922",,
04/05/17 10:41:02.069,"2887",,
04/05/17 10:41:07.069,"2887",,
04/05/17 10:41:12.069,"2897",,
04/05/17 10:41:17.068,"2907",,
04/05/17 10:41:22.069,"2907",,
04/05/17 10:41:27.069,"2942",,
04/05/17 10:41:32.068,"2968",,
04/05/17 10:41:37.069,"2978",,
04/05/17 10:41:42.069,"3008",,
04/05/17 10:41:47.069,"3075",,
04/05/17 10:41:52.068,"3085",,
04/05/17 10:41:57.069,"3085",,
04/05/17 10:42:02.069,"3085",,
04/05/17 10:42:07.068,"3101",,
04/05/17 10:42:12.069,"3106",,
04/05/17 10:42:17.069,"3116",,
04/05/17 10:42:22.069,"3111",,
04/05/17 10:42:27.069,"3121",,
04/05/17 10:42:32.069,"3106",,
04/05/17 10:42:37.069,"3076",,
04/05/17 10:42:42.068,"3019",,
04/05/17 10:42:47.069,"2974",,
04/05/17 10:42:52.069,"2908",,
04/05/17 10:42:57.069,"2834",,
04/05/17 10:43:02.069,"2756",,
04/05/17 10:43:07.069,"2722",,
04/05/17 10:43:12.069,"2688",,
04/05/17 10:43:17.068,"2660",,
04/05/17 10:43:22.069,"2674",,
04/05/17 10:43:27.069,"2670",,
04/05/17 10:43:32.069,"2655",,
04/05/17 10:43:37.070,"2684",,
