,upstrm [Ambient]
,CO2
04/04/17 13:52:50.50,3452
04/04/17 13:52:55.55,3418
04/04/17 13:53:00.00,3367
04/04/17 13:53:05.05,3361
04/04/17 13:53:10.10,3305
04/04/17 13:53:15.15,3266
04/04/17 13:53:20.20,3234
04/04/17 13:53:25.25,3234
04/04/17 13:53:30.30,3168
04/04/17 13:53:35.35,3130
04/04/17 13:53:40.40,3130
04/04/17 13:53:45.45,3093
04/04/17 13:53:45.45,3093
04/04/17 13:53:50.50,3041
04/04/17 13:53:55.55,3005
04/04/17 13:54:00.00,2933
04/04/17 13:54:05.05,2923
04/04/17 13:54:10.10,2883
04/04/17 13:54:15.15,2898
04/04/17 13:54:20.20,2858
04/04/17 13:54:25.25,2803
04/04/17 13:54:30.30,2769
04/04/17 13:54:35.35,2778
04/04/17 13:54:40.40,2750
04/04/17 13:54:45.45,2716
04/04/17 13:54:50.50,2697
04/04/17 13:54:55.55,2706
04/04/17 13:55:00.00,2616
04/04/17 13:55:05.05,2634
04/04/17 13:55:10.10,2629
04/04/17 13:55:15.15,2629
04/04/17 13:55:20.20,2570
04/04/17 13:55:25.25,2556
04/04/17 13:55:30.30,2510
04/04/17 13:55:35.35,2496
04/04/17 13:55:40.40,2447
04/04/17 13:55:45.45,2461
04/04/17 13:55:50.50,2443
04/04/17 13:55:55.55,2417
04/04/17 13:56:00.00,2403
04/04/17 13:56:05.05,2394
04/04/17 13:56:10.10,2359
04/04/17 13:56:15.15,2312
04/04/17 13:56:20.20,2295
04/04/17 13:56:25.25,2304
04/04/17 13:56:30.30,2316
04/04/17 13:56:35.35,2257
04/04/17 13:56:40.40,2261
04/04/17 13:56:45.45,2248
04/04/17 13:56:50.50,2223
04/04/17 13:56:55.55,2214
04/04/17 13:57:00.00,2157
04/04/17 13:57:05.05,2153
04/04/17 13:57:10.10,2128
04/04/17 13:57:15.15,2120
04/04/17 13:57:20.20,2108
04/04/17 13:57:25.25,2091
04/04/17 13:57:30.30,2091
04/04/17 13:57:35.35,2079
04/04/17 13:57:40.40,2036
04/04/17 13:57:45.45,1993
04/04/17 13:57:50.50,1958
04/04/17 13:57:55.55,1958
04/04/17 13:58:00.00,1974
04/04/17 13:58:00.00,1974
04/04/17 13:58:05.05,1966
04/04/17 13:58:10.10,1947
04/04/17 13:58:15.15,1928
04/04/17 13:58:20.20,1943
04/04/17 13:58:25.25,1898
04/04/17 13:58:30.30,1890
04/04/17 13:58:35.35,1883
04/04/17 13:58:40.40,1875
04/04/17 13:58:45.45,1842
04/04/17 13:58:50.50,1845
04/04/17 13:58:55.55,1830
04/04/17 13:59:00.00,1805
04/04/17 13:59:05.05,1809
04/04/17 13:59:10.10,1787
04/04/17 13:59:15.15,1780
04/04/17 13:59:20.20,1741
04/04/17 13:59:25.25,1741
04/04/17 13:59:30.30,1748
04/04/17 13:59:35.35,1737
04/04/17 13:59:40.40,1726
04/04/17 13:59:45.45,1723
04/04/17 13:59:50.50,1702
04/04/17 13:59:55.55,1691
04/04/17 14:00:00.00,1667
04/04/17 14:00:05.05,1817
04/04/17 14:00:10.10,2057
04/04/17 14:00:15.15,2325
04/04/17 14:00:20.20,2611
04/04/17 14:00:25.25,2848
04/04/17 14:00:30.30,3109
04/04/17 14:00:35.35,3266
04/04/17 14:00:40.40,3395
04/04/17 14:00:45.45,3440
04/04/17 14:00:50.50,3480
04/04/17 14:00:55.55,3480
04/04/17 14:01:00.00,3515
04/04/17 14:01:05.05,3527
04/04/17 14:01:10.10,3474
04/04/17 14:01:15.15,3521
04/04/17 14:01:20.20,3562
04/04/17 14:01:25.25,3497
04/04/17 14:01:30.30,3562
04/04/17 14:01:35.35,3580
04/04/17 14:01:40.40,3533
04/04/17 14:01:45.45,3550
04/04/17 14:01:50.50,3597
04/04/17 14:01:55.55,3568
04/04/17 14:02:00.00,3586
04/04/17 14:02:05.05,3568
04/04/17 14:02:10.10,3568
04/04/17 14:02:15.15,3550
04/04/17 14:03:40.40,3528
04/04/17 14:03:45.45,3545
04/04/17 14:03:50.50,3516
04/04/17 14:03:55.55,3481
04/04/17 14:04:00.00,3469
04/04/17 14:04:05.05,3504
04/04/17 14:04:10.10,3481
04/04/17 14:04:15.15,3446
04/04/17 14:04:20.20,3498
04/04/17 14:04:25.25,3510
04/04/17 14:04:30.30,3487
04/04/17 14:04:35.35,3493
04/04/17 14:04:40.40,3463
04/04/17 14:04:45.45,3493
04/04/17 14:04:50.50,3463
04/04/17 14:04:55.55,3487
04/04/17 14:05:00.00,3516
04/04/17 14:05:05.05,3522
04/04/17 14:05:10.10,3493
04/04/17 14:05:15.15,3452
04/04/17 14:05:20.20,3487
04/04/17 14:05:25.25,3475
04/04/17 14:05:30.30,3487
04/04/17 14:05:35.35,3563
04/04/17 14:05:40.40,3522
04/04/17 14:05:45.45,3545
04/04/17 14:05:50.50,3545
04/04/17 14:05:55.55,3534
04/04/17 14:06:00.00,3563
04/04/17 14:06:05.05,3569
04/04/17 14:06:10.10,3557
