,upstrm [Ambient],,,dwnstrm [Ambient],Time Elapsed,AI 2: Upstream CO2 (%),AI 10: Downstream CO2 (%)
04/04/17 13:07:55.55,89,,04/04/17 13:08:11.11,84,12737.43774,0.429496721,-0.002302142
04/04/17 13:08:00.00,83,,04/04/17 13:08:16.16,89,12737.93714,0.432778844,-0.007132174
04/04/17 13:08:05.05,83,,04/04/17 13:08:21.21,89,12738.43924,0.431282036,-0.000335024
04/04/17 13:08:10.10,81,,04/04/17 13:08:26.26,87,12738.94031,0.432783064,-0.00534257
04/04/17 13:08:15.15,89,,04/04/17 13:08:31.31,92,12739.44346,0.428904571,-0.003017761
04/04/17 13:08:20.20,89,,04/04/17 13:08:36.36,89,12739.93759,0.433532277,-0.005882132
04/04/17 13:08:25.25,77,,04/04/17 13:08:41.41,92,12740.43869,0.431229321,-0.002840193
04/04/17 13:08:30.30,77,,04/04/17 13:08:46.46,83,12740.93872,0.435413313,-0.005343727
04/04/17 13:08:35.35,74,,04/04/17 13:08:51.51,81,12741.43774,0.430571468,-0.003018348
04/04/17 13:08:40.40,85,,04/04/17 13:08:56.56,84,12741.94177,0.435665454,-0.006594923
04/04/17 13:08:45.45,95,,04/04/17 13:09:01.01,87,12742.44186,0.43169113,-0.002839717
04/04/17 13:08:50.50,102,,04/04/17 13:09:06.06,73,12742.93698,0.433077912,-0.00659444
04/04/17 13:08:55.55,89,,04/04/17 13:09:11.11,73,12743.44116,0.43077659,-0.001408396
04/04/17 13:09:00.00,89,,04/04/17 13:09:16.16,94,12743.93825,0.434566841,-0.00659585
04/04/17 13:09:05.05,92,,04/04/17 13:09:21.21,115,12744.43728,0.431796075,-0.002840047
04/04/17 13:09:10.10,89,,04/04/17 13:09:26.26,109,12744.93844,0.435680371,-0.00731077
04/04/17 13:09:15.15,94,,04/04/17 13:09:31.31,122,12745.44352,0.431227768,-0.003019051
04/04/17 13:09:20.20,88,,04/04/17 13:09:36.36,125,12745.94369,0.435412129,-0.008204981
04/04/17 13:09:25.25,117,,04/04/17 13:09:41.41,122,12746.44184,0.432670609,-0.004090488
04/04/17 13:09:30.30,126,,04/04/17 13:09:46.46,143,12746.94088,0.434417735,-0.006595367
04/04/17 13:09:35.35,132,,04/04/17 13:09:51.51,140,12747.4409,0.429441526,-0.006593978
04/04/17 13:09:40.40,135,,04/04/17 13:09:56.56,152,12747.93898,0.436271587,-0.008739778
04/04/17 13:09:45.45,137,,04/04/17 13:10:01.01,147,12748.44118,0.433322526,-0.006238305
