Shortcut,Name,Phase,Molar Mass,Melting Point,Boiling Point,Density,Heat Capacity,Linear Expansion Coefficient,Modulus of Elasticity,
sSubstance,sName,ttxPhases,fMolarMass,fMeltPoint,fBoilPoint,fDensity,fCp,fExpCoeff,fModElast,number of properties is not limited. as long as the name is in the first row and the variablename in the second!
-,-,-,kg/mol,K,K,kg/m3,J/(kg*K),-,-,
Sweetpotato,Sweetpotato,solid,0.02432,,,804,1860,,,
Sweetpotato,Sweetpotato,liquid,0.02432,,,804,1860,,,
Tomato,Tomato,solid,0.02432,,,804,1860,,,
Tomato,Tomato,liquid,0.02432,,,804,1860,,,
Wheat,Wheat,solid,0.02432,,,804,1860,,,
Wheat,Wheat,liquid,0.02432,,,804,1860,,,
Whitepotato,Whitepotato,solid,0.02432,,,804,1860,,,
Whitepotato,Whitepotato,liquid,0.02432,,,804,1860,,,
RadishEdibleDry,RadishEdibleDry,solid,0.0244156,,,804,1860,,,
RadishInedibleDry,RadishInedibleDry,solid,0.0244156,,,804,1860,,,
RadishEdibleFluid,RadishEdibleFluid,liquid,0.0244156,,,804,1860,,,
RadishInedibleFluid,RadishInedibleFluid,liquid,0.0244156,,,804,1860,,,
OtherPlantsMean,OtherPlantsMean,solid,0.02307,,,804,1860,,,
Cellulose,Cellulose,solid,0.0300262,,,804,1860,,,
A7LB_Helmet,A7LB_Helmet,solid,0.03,,,1243.1,1078.2,,,
A7LB_Visor,A7LB_Visor,solid,0.03,,,1187.1,860.6,,,
A7LB_UpperTorso,A7LB_UpperTorso,solid,0.03,,,1508.8,1235.8,,,
A7LB_LowerTorso,A7LB_LowerTorso,solid,0.029,,,1236.5,1420.8,,,
A7LB_Arm,A7LB_Arm,solid,0.03,,,1235.8,1420.4,,,
A7LB_Glove,A7LB_Glove,solid,0.03,,,1183.6,1322.7,,,
A7LB_Leg,A7LB_Leg,solid,0.03,,,1236.4,1420.8,,,
A7LB_Boot,A7LB_Boot,solid,0.03,,,1248.7,1216,,,
A7LB_PLSS,A7LB_PLSS,solid,0.03,,,1345.8,1331.5,,,
AmineSA9T,AmineSA9T,solid,0.03,,,636.7,2040,,,
Graphite,Graphite,solid,0.0120107,3923.15,5100.15,2100,850,,,
LiCl,Lithium Chloride,solid,,,,,,,,
Zeolite5A,Zeolite5A,solid,0.03,,,1190,750,,,
Zeolite5A_RK38,Zeolite5A_RK38,solid,0.03,,,1370,650,,,
Zeolite13x,Zeolite13x,solid,0.03,,,1260,650,,,
SilicaGel_40,SilicaGel_40,solid,0.03,,,1240,870,,,
